COD_IMOVEL,NUM_AREA,COD_ESTADO,NOM_MUNICI,NUM_MODULO,TIPO_IMOVE,SITUACAO,CONDICAO_I
PA-1503457-7CA0CA2F201D4032A2A981FF00A55930,23.0551000000,PA,Ipixuna do Pará,0.4192000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-49484484C5314668BDDF2CD42FEA5DE6,46.8933000000,PA,Ipixuna do Pará,0.8526000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-6DB72F04CC8E44EDAAD49A075E2E6748,19.2674000000,PA,Ipixuna do Pará,0.3503000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-03C6415200A24CFAADF539828517F08A,100.0812000000,PA,Ipixuna do Pará,1.8197000000,IRU,AT,Aguardando análise
PA-1503457-4B1B387ADE304939869571C884647481,26.9432000000,PA,Ipixuna do Pará,0.4899000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-DC7ABF1055EE4F528B154125836729F5,338.1625000000,PA,Ipixuna do Pará,6.1484000000,IRU,AT,Aguardando análise
PA-1503457-42740383593A4E7EA898F996AA438019,21.5982000000,PA,Ipixuna do Pará,0.3927000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-917A96C4C98E4D6987BE18B5052D9C7F,21.9887000000,PA,Ipixuna do Pará,0.3998000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-18C8CECD4C6D4D3A8C4E24F70E6E0EA9,50.5044000000,PA,Ipixuna do Pará,0.9183000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-93BE0483ABA6489A834D704DBC76540C,20.4260000000,PA,Ipixuna do Pará,0.3714000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-78C92A48ED42403E896E566A5ADCC510,161.4134000000,PA,Ipixuna do Pará,2.9348000000,IRU,AT,Aguardando análise
PA-1503457-C7420816AD834F9F8261733300480C4B,25.8975000000,PA,Ipixuna do Pará,0.4709000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-04421900E1E142508CE321BE329156F2,37.4951000000,PA,Ipixuna do Pará,0.6817000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-3DD7F59E98634C28B3B1610BE37A9899,25.1314000000,PA,Ipixuna do Pará,0.4569000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-AB6495E8C20B417897D3FDAA6E89476D,42.8364000000,PA,Ipixuna do Pará,0.7788000000,IRU,AT,Aguardando análise
PA-1503457-ECAE2FF9A4564548884D19BD71AB53A3,24.9396000000,PA,Ipixuna do Pará,0.4534000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-C8576F86FB984E4A8AD30D51F2900F71,30.6382000000,PA,Ipixuna do Pará,0.5571000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-5A0FEC4C25704F51B0D61C2A2C3E6153,21.0714000000,PA,Ipixuna do Pará,0.3831000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-84BC800D84A24669A254D16E3D7AF263,94.5320000000,PA,Ipixuna do Pará,1.7188000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-C2E6B25E415047A4A90E7C4F6B7873F8,79.1716000000,PA,Ipixuna do Pará,1.4395000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-02FB8B63EDDE4684B0662B18ECF63798,508.0094000000,PA,Ipixuna do Pará,9.2365000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-1CEE96BE7639463887A7878DBD8C63E7,154.9064000000,PA,Ipixuna do Pará,2.8165000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-9D0F06C1CDD04C46AFCC29A6CF816E2C,364.9025000000,PA,Ipixuna do Pará,6.6346000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-0F9DC4CC6FB7499585FFF04589939E9D,24.2176000000,PA,Ipixuna do Pará,0.4403000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503457-3DEBDDDE1E454CD6A7DD94A99959ED7B,50.5527000000,PA,Ipixuna do Pará,0.9191000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
